Front,Back
Anyi ahụgo/ Anyi ahụvụgo,Anyi ahụgo/ Anyi ahụvụgo
How do you say 'I don't think we've met' in Igbo?,How do you say 'I don't think we've met' in Igbo?
Ọdighi m ka anyi ahụvụgo,Ọdighi m ka anyi ahụvụgo
What is 'Nna' in English?,What is 'Nna' in English?
Father,Father
What is 'Nné' in English?,What is 'Nné' in English?
Mother,Mother
What does 'Nwa' mean?,What does 'Nwa' mean?
Child / Baby,Child / Baby
What is the plural of 'Nwa'?,What is the plural of 'Nwa'?
Ụmụaka (Children),Ụmụaka (Children)
What is 'Nwanne'?,What is 'Nwanne'?
Sibling (brother or sister),Sibling (brother or sister)
What does 'Nwanne Nwoke' refer to?,What does 'Nwanne Nwoke' refer to?
Brother,Brother
What does 'Nwanne Nwanyi' refer to?,What does 'Nwanne Nwanyi' refer to?
Sister,Sister
What is 'Ada' in family terms?,What is 'Ada' in family terms?
First daughter,First daughter
What does 'Ọkpara' mean?,What does 'Ọkpara' mean?
First Son,First Son
What is 'Nwa nwanne'?,What is 'Nwa nwanne'?
Nephew or Niece,Nephew or Niece
What does 'Ụmụnné nna' mean?,What does 'Ụmụnné nna' mean?
Paternal Aunts and Uncles (father's siblings),Paternal Aunts and Uncles (father's siblings)
What is 'Di' in English?,What is 'Di' in English?
Husband,Husband
What does 'Nwunyè' mean?,What does 'Nwunyè' mean?
Wife,Wife
What is 'Nwaanyị'?,What is 'Nwaanyị'?
Woman/Female,Woman/Female
What does 'Nwa Nwa' refer to?,What does 'Nwa Nwa' refer to?
Grandchild,Grandchild
What is 'Ndewo'?,What is 'Ndewo'?
Hello (formal),Hello (formal)
What does 'Kedu ka ị mere?' mean?,What does 'Kedu ka ị mere?' mean?
How are you doing?,How are you doing?
What is 'I bọọla chi?' used for?,What is 'I bọọla chi?' used for?
Good morning (Have you woken up well?),Good morning (Have you woken up well?)
What does 'Dalụ' mean?,What does 'Dalụ' mean?
Well done (a form of greeting),Well done (a form of greeting)
What is 'Kachifo'?,What is 'Kachifo'?
Good night,Good night
What does 'Jisie ike' mean?,What does 'Jisie ike' mean?
Be strong (encouragement),Be strong (encouragement)
What is the meaning of 'Chukwu gozie gi'?,What is the meaning of 'Chukwu gozie gi'?
God bless you,God bless you
What does 'Ka ọ di' mean?,What does 'Ka ọ di' mean?
Goodbye (informal),Goodbye (informal)
What is 'Emesia anyi gā ahu'?,What is 'Emesia anyi gā ahu'?
Later we will see,Later we will see
What does 'Jée ìkẹ́ ọmá' mean?,What does 'Jée ìkẹ́ ọmá' mean?
Go well,Go well
What is 'Í méélá'?,What is 'Í méélá'?
Thank you,Thank you
What does 'Dàálụ' mean?,What does 'Dàálụ' mean?
Well done/ Thanks/ Great job,Well done/ Thanks/ Great job
What is 'Ìrì' in Igbo numerals?,What is 'Ìrì' in Igbo numerals?
10,10
How do you form numbers from 11 to 19 in Igbo?,How do you form numbers from 11 to 19 in Igbo?
Add 'na' (meaning 'and') between the word for ten ('Ìrì') and the digit.,Add 'na' (meaning 'and') between the word for ten ('Ìrì') and the digit.
What is a noun in Igbo?,What is a noun in Igbo?
"Áhà bụ okwu na-akọwa aha mmadụ, anụmanụ, ihe, ebe, maọbụ echiche.","Áhà bụ okwu na-akọwa aha mmadụ, anụmanụ, ihe, ebe, maọbụ echiche."
What are proper nouns in Igbo?,What are proper nouns in Igbo?
"Áhà aka bụ aha pụrụ iche nke e nyere mmadụ, ebe, maọbụ ihe.","Áhà aka bụ aha pụrụ iche nke e nyere mmadụ, ebe, maọbụ ihe."
Give an example of a proper noun.,Give an example of a proper noun.
Chidinma nọ na Lagos.,Chidinma nọ na Lagos.
What are common nouns in Igbo?,What are common nouns in Igbo?
"Áhà izugbe bụ aha ọ bụla a na-eji akọwa mmadụ, anụmanụ, ebe, maọbụ ihe n'ozuzu.","Áhà izugbe bụ aha ọ bụla a na-eji akọwa mmadụ, anụmanụ, ebe, maọbụ ihe n'ozuzu."
Give an example of a common noun.,Give an example of a common noun.
Nwoke ahụ na-agba ọsọ.,Nwoke ahụ na-agba ọsọ.
What are compound nouns in Igbo?,What are compound nouns in Igbo?
Áhà ukwu bụ áhà abụọ maọbụ karịa e jikọrọ ọnụ.,Áhà ukwu bụ áhà abụọ maọbụ karịa e jikọrọ ọnụ.
Give an example of a compound noun.,Give an example of a compound noun.
Ụlọ akwụkwọ (School).,Ụlọ akwụkwọ (School).
What are collective nouns in Igbo?,What are collective nouns in Igbo?
"Áhà mgbakọ bụ aha e ji akọwa otu ìgwè mmadụ, ihe, maọbụ anụmanụ.","Áhà mgbakọ bụ aha e ji akọwa otu ìgwè mmadụ, ihe, maọbụ anụmanụ."
Give an example of a collective noun.,Give an example of a collective noun.
Ụmụaka (Children).,Ụmụaka (Children).
What are abstract nouns in Igbo?,What are abstract nouns in Igbo?
Áhà uche bụ áhà na-akọwa ihe a na-enweghị ike imetụ aka.,Áhà uche bụ áhà na-akọwa ihe a na-enweghị ike imetụ aka.
Give an example of an abstract noun.,Give an example of an abstract noun.
Ihunanya (Love).,Ihunanya (Love).
How do you form plurals in Igbo?,How do you form plurals in Igbo?
"Plurality is expressed through specific plural markers, numbers, quantifiers, and sometimes reduplication.","Plurality is expressed through specific plural markers, numbers, quantifiers, and sometimes reduplication."
What is the plural marker for people in Igbo?,What is the plural marker for people in Igbo?
The marker 'ndị' is used for pluralizing nouns referring to people.,The marker 'ndị' is used for pluralizing nouns referring to people.
Give an example of using 'ndị' for plural.,Give an example of using 'ndị' for plural.
Onye nkụzi (Teacher) becomes Ndị nkụzi (Teachers).,Onye nkụzi (Teacher) becomes Ndị nkụzi (Teachers).
What is the plural marker for children in Igbo?,What is the plural marker for children in Igbo?
"The marker 'ụmụ' is used for pluralizing nouns, particularly for children.","The marker 'ụmụ' is used for pluralizing nouns, particularly for children."
Give an example of using 'ụmụ' for plural.,Give an example of using 'ụmụ' for plural.
Nwa (Child) becomes Ụmụ (Children).,Nwa (Child) becomes Ụmụ (Children).
How can numbers indicate plurality in Igbo?,How can numbers indicate plurality in Igbo?
By placing a number greater than one after the noun.,By placing a number greater than one after the noun.
Give an example of using a number for plural.,Give an example of using a number for plural.
Akwụkwọ (Book) becomes Akwụkwọ abụọ (Two books).,Akwụkwọ (Book) becomes Akwụkwọ abụọ (Two books).
What is the Igbo word for 'time'?,What is the Igbo word for 'time'?
Oge.,Oge.
What is the Igbo word for 'month'?,What is the Igbo word for 'month'?
Ónwá.,Ónwá.
What is the Igbo word for 'week'?,What is the Igbo word for 'week'?
Izu.,Izu.
What is the Igbo word for 'day'?,What is the Igbo word for 'day'?
Úbochi.,Úbochi.
What is the Igbo word for 'today'?,What is the Igbo word for 'today'?
Taa.,Taa.
What is the Igbo word for 'tomorrow'?,What is the Igbo word for 'tomorrow'?
Echi.,Echi.
What is the Igbo word for 'morning'?,What is the Igbo word for 'morning'?
Útútu.,Útútu.
What is the Igbo word for 'afternoon'?,What is the Igbo word for 'afternoon'?
Éhihie.,Éhihie.
What is the Igbo word for 'evening'?,What is the Igbo word for 'evening'?
Mgbede.,Mgbede.
What is the Igbo word for 'night'?,What is the Igbo word for 'night'?
Ábali.,Ábali.
What does 'nke' indicate in possessive pronouns?,What does 'nke' indicate in possessive pronouns?
It indicates possession or ownership.,It indicates possession or ownership.
What is the Igbo word for 'all'?,What is the Igbo word for 'all'?
niile,niile
What is the Igbo word for 'some'?,What is the Igbo word for 'some'?
ụfọdụ,ụfọdụ
What is the Igbo word for 'many'?,What is the Igbo word for 'many'?
ọtụtụ,ọtụtụ
